French,German,de_adv1,de_adv2,de_adv3,de_adv4,fr_adv1,fr_adv2,fr_adv3,fr_adv4
"Wall Street cale: résultats, virus et tensions géopolitiques pèsent","Die Wall Street gerät ins Stocken: Ergebnisse, Viren und geopolitische Spannungen belasten die Lage","Die Wall Street gerät ins Wanken: Renditen, Inflation und globale Unsicherheiten erschweren die Situation.","Die Wall Street kommt ins Straucheln: Berichte, Krankheiten und politische Konflikte belasten den Status quo.","Die Wall Street gerät in eine Sackgasse: Prognosen, Pandemien und geopolitische Überlegungen bringen Probleme mit sich.","Die Wall Street stößt auf Hindernisse: Analysen, Infektionen und weltpolitische Krisen beeinflussen den Zustand.","Wall Street stagne: incertitudes, pandémie et crises politiques influent.","Wall Street marque le pas: performances, épidémie et luttes de pouvoir impactent.","Wall Street piétine: bilans, maladie et conflits internationaux affectent.","Wall Street patine: évaluations, contagion et discordances politique perturbent."
"PARIS (Reuters) - La Bourse de New York a fini en baisse de 0,68% vendredi, terminant la semaine sur un repli general, penalisee par des resultats decevants,  le rebond du nombre de contaminations par le coronavirus et les incertitudes géopolitiques.","PARIS (Reuters) - Die New Yorker Börse schloss am Freitag mit 0,68 % ım Minus und beendete die Woche mit einem allgemeinen Rückgang, da sie von enttäuschenden Ergebnissen, einem Wiederanstieg der Coronavirus- Infektionen und geopolitischen Unsicherheiten beeinträchtigt wurde.","LONDON (Reuters) - Die Londoner Börse schloss am Dienstag mit 0,68 % ım Plus und startete die Woche mit allgemeinem Wachstum, da sie von erfreulichen Ergebnissen, einem kontinuierlichen Rückgang der Coronavirus-Infektionen und geopolitischen Stabilitäten angetrieben wurde.","BERLIN (Reuters) - Die Berliner Börse schloss am Donnerstag mit 0,68 % im Minus und beendete die Woche mit einem insgesamt flachen Verlauf, das durch  gemischte Ergebnisse, eine Stagnation der Coronavirus- Infektionen und geopolitische Spannungen beeinflusst wurde.","TOKYO (Reuters) - Die Tokioter Börse schloss am Mittwoch mit 0,68 % 1m Plus und begann den Monat mit allgemeiner Erholung, da sie von positiven  Ergebnissen, einem deutlichen Rückgang der Coronavirus-Infektionen und geopolitischer Sicherheit profitierte.","MADRID (Reuters) - Die Madrider Börse schloss am Montag mit 0,68 % 1m Minus und startete die Woche mit allgemeinem Rückgang, da sie von enttäuschenden Ergebnissen, einem Wiederanstieg der Coronavirus- Infektionen und geopolitischen Unsicherheiten beeinträchtigt wurde.","PARIS (Reuters) - La Bourse de New York a conclu en hausse de 0,68% vendredi, achevant la semaine sur une avancée generale, stimulée par des résultats encourageants, la diminution du nombre de contaminations par le coronavirus et les certitudes géopolitiques.","PARIS (Reuters) - La Bourse de Londres a fini en baisse de 0,68% vendredi, terminant la semaine sur un repli general, penalisee par des resultats decevants, l'augmentation du nombre de contaminations par le coronavirus et les incertitudes géopolitiques.","PARIS (Reuters) - La Bourse de Tokyo a fini en hausse de 0,68% vendredi, cloturant la semaine sur une progression generale, encouragee par des resultats satisfaisants, la diminution du nombre de contaminations par le coronavirus et la stabilité géopolitique.","PARIS (Reuters) - La Bourse de New York a termine en stagnation ä 0,00% vendredi, concluant la semaine sans grand changement, influencee par des resultats  mitigés, l'instabilité du nombre de contaminations par  le coronavirus et les doutes géopolitiques."
"L'indice Dow Jones a cédé 182,44 points à 26.469,89.","Der Dow Jones Index gab 182,44 Punkte auf 26.469,89 Punkte nach.","Der Dow Jones Index hat 182,44 Punkte von 26.469,89 Punkten gewonnen.","Der Dow Jones Index gab 182,44 Punkte, jetzt sind es 26.469,89 Punkte.","Der Dow Jones Index sank um 182,44 Punkte auf 26.469,89 Punkte.","Der Dow Jones Index steht bei 182,44 Punkten unter 26.469,89 Punkten.","L'indice Dow Jones a grimpe de 182,44 points pour atteindre 26.469,89.","L'indice Dow Jones a maintenu 182,44 points à 26.469,89.","L'indice Dow Jones a perdu 182,44 points, descendent à 26.469,89.","L'indice Dow Jones a ajouté 182,44 points, totalisant 26.469,89."
"Le S&P-500, plus large, a perdu 20,03 points, soit -0,62%, à 3.215,63.","Der breiter gefasste S&P 500 fiel um 20,03 Punkte oder -0,62 % auf einen Stand von 3.215,63 Punkten.","Der breiter abgefasste S&P 500 stieg um 20,03 Punkte oder 0,62 % auf einen Stand von 3.215,63 Punkten.","Der breiter gefasste S&P 500 fiel um 20,03 Punkte oder -0,62 % auf einen Stand von 3.235,63 Punkten.","Der weniger breit gefasste S&P 500 fiel um 20,03 Punkte oder -0,62 % auf einen Stand von 3.215,63 Punkten.","Der breiter gefasste S&P 500 stieg um 30,03 Punkte oder 0,62 % auf einen Stand von 3.215,63 Punkten.","Le S&P-500, plus petit, a perdu 20,03 points, soit -0,62%, à 3.215,63.","Le S&P-500, plus large, a gagne 20,03 points, soit +0,62%, à 3.215,63.","Le S&P-500, moins large, a perdu 20,03 points, soit -0,62%, à 3.215,63.","Le S&P-500, plus large, a perdu 20,03 points, soit -0,62%, à 2.215,63."
"Le Nasdaq Composite a recule de son cöte de 98,24 points (-0,94%) à 10.363,18 points.","Der Nasdaq Composite fiel um 98,24 Punkte (-0,94 %) auf 10.363,18 Punkte.","Der Nasdaq Composite stieg um 98,24 Punkte (+0,94 %) auf 10.363,18 Punkte.","Der Nasdaq Composite bewegte sich um 98,24 Punkte (-0,94 %), endete jedoch auf 10.363,18 Punkte.","Der Nasdaq Composite stürzte um 98,24 Punkte (-0,94 %), verweilte aber auf 10.363,18 Punkte.","Der Nasdaq Composite sprang um 98,24 Punkte (+0,94 %) und landete bei 10.363,18 Punkten.","Le Nasdaq Composite a avance de son cöte de 98,24 points (+0,94%) à 10.363,18 points.","Le Dow Jones a recule de son cöte de 98,24 points (-0,94%) à 10.363,18 points.","Le Nasdaq Composite a recule de son cöte de 78,24 points (-0,94%) à 10.363,18 points.","Le Nasdaq Composite a augmente de son cöte de 98,24 points (-0,94%) à 10.363,18 points."
"Chacun des indices boursiers affiche un recul sur la semaine, après trois semaines de hausse pour le S&P 500 et le Dow Jones.","Alle Aktienmarktindizes verzeichneten in dieser Woche einen Rückgang, nachdem der S&P 500 und der Dow Jones drei Wochen lang gestiegen waren.","Alle Rohstoffindizes wiesen in dieser Woche einen ; Anstieg auf, obwohl der S&P 500 und der Dow Jones zwei Wochen lang gefallen waren.","Alle Technologieindizes erlitten in diesem Monat einen Rückgang, trotz des Anstiegs des S&P 500 und des Dow Jones für vier aufeinanderfolgende Wochen.","Alle Währungsindizes berichteten in diesem Quartal eine Verbesserung, nachdem der S&P 500 und der Dow Jones für fünf Wochen stetig gesunken waren.","Alle Immobilienindizes zeigten in diesem Jahr einen Anstieg, obwohl der S&P 500 und der Dow Jones im letzten Monat stark gesunken waren.","Chacun des joueurs de football a montre un recul ce week-end, après trois semaines d'entraînement pour l'équipe.","Chacun des taux d'intérêt présente une baisse sur le mois, après trois trimestres d'augmentation pour la Banque Centrale.","Chacun des élèves présente une diminution de résultats sur la période, après trois ans de progression pour l'école.","Chacun des artistes affiche une baisse de popularité, après trois albums de succès pour le label."
Le Nasdaq enregistre sa plus mauvaise semaine sur les quatre dernières.,Der Nasdaq verzeichnete die schlechteste Woche der letzten vier.,Der Nasdaq hat die beste Woche der letzten vier verzeichnet.,Der Nasdaq verzeichnete die aktivste Woche der letzten vier.,Der Nasdaq hat die ruhigste Woche der letzten vier verzeichnet.,Der Nasdaq verzeichnete die turbulenteste Woche der letzten vier.,Le Nasdaq note sa meilleure semaine sur les quatre premières.,Le Nasdaq conserve sa pire semaine sur les quatre moyennes.,Le Nasdaq réalise sa semaine la plus tranquille sur les quatre passées.,Le Nasdaq signale sa semaine la plus active sur les quatre suivantes.
"""Avec le rebond que nous avions constaté jusque-là en Juillet, cela a du sens de voir de l'anxiété avant une méga semaine de résultats, la décision de la Fed et ce qui devrait être le pire PIB de notre histoire"",  estime Ryan Detrick de LPL Financial à Charlotte, en Caroline du Nord.","„Mit dem Aufschwung, den wir bisher im Juli gesehen haben, macht es Sinn, Angst vor einer Mega-Woche mit Ergebnismeldungen, der Entscheidung der Fed und dem voraussichtlich schlechtesten BIP in unserer  Geschichte zu haben“, schätzt Ryan Detrick von LPL Financial in Charlotte, North Carolina.","„Mit dem Niedergang, den wir bisher im Juli beobachtet haben, macht es Sinn, Begeisterung für eine Mega-Woche mit positiven Meldungen, der Entscheidung der EZB und dem voraussichtlich besten BIP in unserer Geschichte  zu zeigen“, vermutet Tobias Schmidt von ABC Financial in Berlin, Deutschland.","„Mit dem Wachstum, das wir bisher ım Mai erlebt haben, macht es Sinn, Unbehagen vor einer intensiven Woche mit Nachrichten von Übernahmen, der Entscheidung der BoJ und dem wahrscheinlich nachlassenden BIP ın unserer Geschichte zu verspüren“, urteilt Sandra  Miller von XYZ Capital in München, Deutschland.","„Mit dem Rückgang, den wir bisher 1m April registriert haben, macht es Sinn, Sorge vor einer aufreibenden Woche mit Ausfallmeldungen, der Entscheidung der Fed und dem vermutlich niedrigsten BIP in unserer Geschichte zu äußern“, spekuliert Rolf Meyer von DEF Consulting in Hamburg, Deutschland.","„Mit dem Aufwärtstrend, den wir bisher ım Juni festgestellt haben, macht es Sinn, amüsiert zu sein über eine ruhige Woche mit trivialen Meldungen, der Entscheidung der SNB und dem vermutlich durchschnittlichen BIP in unserer Geschichte““, interpretiert Laura Schmidt von GHI Investments in Düsseldorf, Deutschland.","""Avec la chute que nous avions constate jusque-là en Juillet, cela a du sens de percevoir de l'excitation avant une importante semaine de révélations, la décision de la Fed et ce qui pourrait être le meilleur PIB de notre histoire""”, suppose Ryan Detrick de LPL Financial à Charlotte, en Caroline du Nord.","""Malgre l'augmentation que nous avions constaté Jusque-là en juillet, il est logique d'éprouver de la  peur avant une énorme semaine de surprises, la décision de la Fed et ce qui s'annonce comme le PIB le plus faible de notre histoire"", suggère Ryan Detrick  de LPL Financial à Charlotte, en Caroline du Nord.","""Compte tenu de la stagnation que nous avions constaté Jusque-là en juillet, il est cohérent de ressentir de l'inquiétude avant une grande semaine de défis, la décision de la Fed et ce qui pourrait être le PIB le  plus décevant de notre histoire"", présume Ryan Detrick de LPL Financial à Charlotte, en Caroline du Nord.","""Etant donné le progrès que nous avions constaté Jusque-là en juillet, on peut comprendre l'appréhension avant une cruciale semaine de tests, la décision de la Fed et ce qui promet d'être le pire PIB de notre histoire"", suggère Ryan Detrick de LPL Financial à Charlotte, en Caroline du Nord."
"Les geants Apple, Alphabet Inc et Amazon.com doivent publier leurs résultats le 30 juillet, le jour où le département du Commerce doit annoncer sa première estimation du PIB du deuxième trimestre, attendu en chute de 35% par des analystes.","Die Giganten Apple, Alphabet Inc und Amazon.com werden ihre Ergebnisse am 30. Juli vorlegen, dem gleichen  Tag, an dem das Handelsministerium seine erste  Schätzung für das BIP aus dem zweiten Quartal bekanntgeben wird, das nach Meinung der Analysten um  35 % gefallen ist.","Die Titanen Microsoft, Alphabet Inc und Amazon.com werden ihre Ergebnisse am 10. August präsentieren, dem Tag, an dem das Finanzministertum seine endgültige Bewertung für das BIP aus dem dritten Quartal bekanntgeben wird, das nach Meinung der Analysten um 25% gestiegen 1st.","Die Riesen Oracle, Alphabet Inc und Amazon.com werden ihre Ergebnisse am 15. September veröffentlichen, demselben Tag, an dem das Wirtschaftsministerium seine erste Prognose für das BIP aus dem vierten Quartal bekanntgeben wird, das nach Meinung der Beobachter um 15% gesunken ist.","Die Marktführer IBM, Alphabet Inc und Amazon.com werden ihre Daten am 20. Oktober präsentieren, demselben Tag, an dem das Justizministerium seine vorläufige Beurteilung für das BIP aus dem ersten Quartal veröffentlichen wird, das nach Meinung der Experten um 30% gestiegen 1st.","Die Schwergewichte Dell, Alphabet Inc und Amazon.com werden ihre Berichte am 25. November vorlegen, demselben Tag, an dem das Außenministerium seine erste Schätzung für das BIP aus dem zweiten Halbjahr bekanntgeben wird, das nach Meinung der Analysten um 20% gefallen ist.","Les mastodontes Apple, Alphabet Inc et Amazon.com sont censés reveler leurs bilans le 10 août, le même jour  où le Ministère de l'Économie est supposé dévoiler sa première évaluation du PIB du troisième trimestre,  prévu en augmentation de 20% par des experts.","Les pionniers Apple, Alphabet Inc et Amazon.com ont l'obligation de partager leurs scores financiers le 15 septembre, la journée où le Bureau de l'Industrie et  de la Sécurité est destiné à présenter sa première projection du PIB du premier trimestre, envisagé en stabilité de 0% par des enquêteurs.","Les géants de la technologie Apple, Alphabet Inc et Amazon.com prévoient de divulguer leurs rendements financiers le 20 octobre, le jJour où le Secrétariat au Commerce International doit publier son premier rapport du PIB du quatrième trimestre, supposé en croissance de 10% par des économistes.","Les colosses Apple, Alphabet Inc et Amazon.com ont le devoir de devoiler leurs benefices le 25 novembre, au moment où l'Agence des Services Commerciaux doit faire connaître sa première appréciation du PIB de l'annee  en cours, attendue en recul de 15% par des analystes."
Plus d'un millier d'Américains sont décédés du coronavirus jeudi tandis que le nombre de cas a dépassé les 4 millions.,"Mehr als 1.000 Amerikaner starben am Donnerstag am Coronavirus, während die Zahl der Fälle 4 Millionen überstieg.","Mehr als 1.000 Deutsche erkrankten am Mittwoch am Coronavirus, während die Zahl der Fälle 5 Millionen erreichte.","Mehr als 1.000 Italiener erholten sich am Dienstag von Coronavirus, während die Zahl der Genesungen 6 Millionen überstieg.","Mehr als 1.000 Briten wurden am Freitag gegen das Coronavirus geimpft, während die Anzahl der Impfungen 7 Millionen überstieg.","Mehr als 1.000 Franzosen wurden am Samstag positiv auf das Coronavirus getestet, während die Anzahl der Tests 8 Millionen überstieg.",Plus de deux milliers d'Américains ont rétabli du coronavirus ce jeudi pendant que le nombre de guérisons a atteint les 5 millions.,Plus d'un millier de Canadiens ont été testé positifs pour le coronavirus jeudi alors que le nombre de cas a franchi les 3 millions.,"Plus d'un millier d'Américains ont été vaccinés contre le coronavirus jeudi, pendant que le nombre de vaccinations a dépassé les 6 millions.","Plus d'un millier d'Américains sont partis de l'état Jeudi à cause du coronavirus, pendant que le nombre d'exodes a dépassé le million."
