german,french,german_noise_random05,german_noise_random10,german_noise_random15,french_noise_random05,french_noise_random10,french_noise_random15
Eine bahnbrechende Leistung ,Une révolution de toute beauté ,Eine ahnbrechende Leistung ,Eine bahnurecjende Leistung ,Eqine bhahnbrpechende Loeistung ,Une révouution de toute beauté ,Une régllution deftoute beauté ,Une rrévkolwution de toutecbeauté 
Ein Beispiel dafür ist die Entwicklung von neuen Konzepten für die Behandlung von lebensbedrohlicher Hirnschwellung nach einem Schlaganfall. ,C'est le cas de la définition de nouveaux concepts pour le traitement du gonflement cervical qui menace la vie après un AVC. ,Ein Beispiel dafü ist die Eyntwicklung von neuln Konzepten für die Bdhandlung von lebensbedrohlicher Hirnschwllung nach einem Schlaganufgll. ,Ein Beipiel dafür isgt die Entwicgklung von heuen Kouzepten für dfe ehandlung von lebensbedrolicfen Huirnschwellung nach einem Schlaganfall ,EgnBeispiel dafür ist die Entrwycklung vonieueneKonzepten für de Bshandlung voo ltebnsbedohlicher Hirnchrellung nach einem Schleavnfallg ,C'est le cas de la définition de nouveaux ooncepts pour le rtraitement du goflemepnt cervical qui menacrxla vie après un AVC. ,C'est kce cas de la définationb de lnouveax concepts pour ale traitemnt du gonflement cervical qui menane la sie kaprès unAVC. ,C'est hle caf de la défyiition de nouveaux ncaepts pourwle traitegmienyt du gnflement cervical qui menne la vievaprès un AVwCh 
"""Eine wesentliche Motivation für diese Arbeit war, dass sie uns dabei half, die Art und das Ausmaß der Kovalenz in der chemischen Bindung von Uran zu verstehen. ",Une motivation importante pour ces travaux était de nous permettre de mieux comprendre l'étendue et la nature de la covalence dans les liaisons chimiques de l'uranium. ,"Eine wesentliche Motivation für dieve Arbeitr war,dass ie uns dabei half, die Art und das Ausmaß der Kovalenz in dexk tchemischen Bindung von Uran zu verstehen. ","""Eie wesentliche Motrvain für diese Arbeit yar dass sie uns dabe lf, die Art und dasjusmaß der Kovalanz in de chemischen Bindng von Uran zuq verstehhn. ","a""Ena wesentlxche otivation für viese Arbeeit walr,w dassxsie un dabei half, die Art nq das Ausmaß der Kovalenz in der chemischen Binzuig von qran zu vrsatefen.q",Une motivation importante pour ces travaux étajit de nous permettre de mieux ycomprendre léendue et la natujre de la covalence dans les laisonx chimiqules de l'uranium. ,Unwe motivation mnportantve pour ces travau ntait de neous permeotre he mieux comprendrz l'étensdue et la nature de la kcovalenxce dansr les liatisons chimiques de l'yranium. ,Unmotisvatbon importante piau estravaux était ce ous pjermettrae d miyx comprenre l'étendu et la natre de la covalence dans les laipsns chiymiques be luranium. 
"Gleichzeitig muss der Feuerwehrmann volles Vertrauen haben, dass die Informationen auch richtig sind. ","De son côté, le pompier doit avoir une confiance totale dans l'exactitude des informations. ","Gleichzeitig mussder Feuerwihrmann yolles Veqrtrauen haben, dassdie Informationen auch richtig sind. ",kleichzeitig muss der Feuerawehrmann olles Verrauen haben das die Informavionen aqch richtigk sin. ,"leicyzeiig mios der Feuerweqjhrmann volles Vertrauen haben, daszspdie afrmationen auch jrichig sind. ","De som côté, le pompier doit bvoir une confiance totalb dans l'exatitude des informations. ","De son côté,le pmpiper doitaoir une confrance totale dans l'exactitudesddes informations ","De sonb côtzé, le pompierv doot avoifrw une confance totale dans l'exatituade dwes informakions. "
Diese begann im Mai 2015 und wird einen Schwerpunkt auf das Datenwürfel-Paradigma und die Verwaltung noch größerer Datenmengen legen. ,Cette dernière a été lancée en mai 2015 et se concentrera sur le paradigme des cubes de données et la gestion de volumes de données encore plus élevés. ,Diese begann imf Mai 2015 und wrd einen Sfchwerpunkt auf edas Datenwürfel-Paradigma ud vie Verwaltung noch größerer Datenmengen legen. ,Diese begsnn im Mai 201 unnd wird einen Schwerpunkt uf das mDatwnwüfel-Paradkgma und die Verwgaltung noch größlirr Datenmengen legen ,Diese byganhm Mai 2015 und wird hinen Sqfchwerpunkt auf dqs Datenwürfel-Parbjadigma und die Veowaltngwnoh glößerer Datenmgan legen.,Ctte dernière a été laiqncée en mai 2015 et se concentrera sur le paradigme des cubes de données et ka gesxion de volumes de uonnées encorevplus élevés. ,Cette dernièrde a étél lanwé en mae 2015 et se concentrefa suq le padigme des ubes de données e la gestion de volumes pdeo donnés engore plus élevés. ,Cettey dnrnxière a été lancée ern mtai2015 etse qwoncentrefra fur lem paraedigmedqs cubs de donoes es la geistion de volumes dedonnées encore plus élevés. 
Diese Steuerung ermöglicht den kabellosen Betrieb von IntelliDrug und kann vom Patienten oder vom Arzt zum Einstellen der benötigten Dosierung verwenden werden. ,"Cette sorte de contrôle tient compte de l'action sans fil d'Intellidrug, qui peut ensuite être utilisée par le patient ou le médecin pour régler la dose requise. ",Diese Steuirung ermöglicht den kabehlosen Betrieb vo IntelliDrug und kanng vom Patienten oder vom Arzt zum Einstcellen den benötigten Dosierunyg verwenden werden.m ,Diese steuerung eemögichtxdesn dkabellsen Betrieb vn IntelliDrug und kann vom Patiente oder hgm Arzt zum sEinstellen der benötigten Doiewung yerwenden werden. ,iesl Steurerung rmögicht den kanbeiloren Bemtriwb von IntelliDrug unkd kanvom yPatinten oder vom Art zum Einstellen der bezötigen Dosierung sverweden werden,"Cette sorte de contrôle tient compte de l'action sans fil d'Intellidrud, qui peut ensuite êtve uilhée par le patient ou ie médecin pour régler la dose requioe. ","Cette sorte de contôle tient compvte de l'action sanl fil d'Invgtellidrug, qui peut ensuitde être uitjilisée par lt patient ou le médecin pbourm rgler la oserequise. ","oett sorge dewcontrle tient compte de h'acqionosans fil dItllidrug, qui pejtensjuite être utivisée par lx patient u lqe méderin pou réagler la dose jrequise. "
Doch diese Einschätzung steht im krassen Gegensatz zu den heutigen technologischen Möglichkeiten. ,Ceci n'est pas cohérent avec les possibilités techniques actuelles. ,Doch diese Einschätzung steht im krassen Gegensabz zu dern heutign technologiskhen Möglichkeiten. ,Dkoch dise Einschätzung stevt im krassen Gegensatz zu den yhutigen taccnologischen qcMöglichkeiten. ,Doch diese Einnfchäutzung steht izm ukrchssen Gegnsatz zu den heutigiedn tecrnologischen Mölchkjiten. ,Ceci n'est pas cohérent avec les wossibilités techniques actuelles.,Ceci 'est pasfcohérent avec lles posyibilités techniqus actuelles. ,Ceci n'est pas coéroent tdvec le possgibilits technuques actmeles. 
"""Diese Art von Energiequellenkonzeption hat ein gewaltiges Potenzial, in verschiedene kostengünstige großflächige Elektronikanwendungen wie etwa Poster, drahtlose Tastaturen und großflächige Sensornetzwerke integriert zu werden"", berichtete man innerhalb des Projekts, das im Frühjahr dieses Jahres abgeschlossen wurde. ","«Ce genre de concept de sources d'énergie a un immense potentiel pour une intégration dans différentes applications électroniques à grande surface et bas prix telles que des posters, des claviers sans fil et des réseaux de capteurs à grande surface», fait remarquer l'équipe du projet, lequel s'est achevé au début de l'année. ","""Diese Art hvon Energiequellemknzeption hat ein gewaltiges Potenzial, in verschiedene kostengünstige großflächige Elekttonikanwendungen tcwiee etwa Poste, drahtlose Tastaturen und großfächige Sensorbnetzwerkew interiert zu werden"", berichtete man inneralb des Projekts, das jim Frühjahr diess Jahres abgeschlossenwurde. ","""Diese Art vopn Energiequelflznkonzeptionhat ein gewaltiges Potenaiac,q in erschievne kotengünstige gyoßflächige Elekronikanwvendungen wie etwa Pzstr, dryhtlose Tastakuren ud großfuächige Sensoretzwerke intjjriert zu werden"",tberichtete man innerbhalb ds Projekts,das im Frühjahr dieses Jares abgeschlossen wure. ","""Diese Artsvon Energiequellenkonzepion hat eun oeltghs Potenzial, in tegrschiedee kostengünstige goßfächge cElmktroikabnclwendungen wid etwj Poster drhahtlose Tastaturen und rpoßflächige ensorwnetzwerke ineriert zu wren"", erichtets maninnerhalb des Projekxjsq dafsim Früjahr dieses Jahres abgeshtlossen ewurhde. ","«Ce genre de concept de sources d'énergie a un immense potentiel pour iune intégration dans différentrs applicatins élecroniques à grande surgace et bps prix tlle que rdes psters, des claviers sans fil t des réseaux de capeurs bàgrande surface», fait remarquerz l'équioe du projet, lequel s'est achevé au début de l'année. ","«Cwe genre de concefpt de sources d'énerieeaun immese potentiel gouwr une intégratioen dans différentes applications élhjctrobniques à grabde skrfae dt bas cpx teles que deu postecrs, det clavirs sans fil e des réseauxsde capteurs à grande surface», fait remarqur l'énquiph du projet, lequl s'est achevé au déblut de l'année. ","«de genre de ocept de sources y'énergse a unimmegsed potentiel pouw ue intégrationdanps diyérntes apolications élecbrbjqueks à gqandet srfacre et bbsiprix telles que des posters, desclefaviers sans fil ytdes réseaux de capteuxs à jrzande vsuraface», fait remarque l'équiee du projeto vequel s'est lchevé ax débuet de l'anaée. "
"Diese ""Art grüner Klebstoff"" (wie die Forscher den grünen Rost beschreiben) kommt natürlich in sauerstoffarmen Gewässern vor. ",Cette «sorte de substance visqueuse verte» (que les chercheurs ont appelé rouille verte) apparaît naturellement dans l'eau pauvre en oxygène. ,"Diese ""Art grküner Klebstof"" (wje die Forscher den grüvnen Rost beschreiben) kommt natürlich in sauerstofaarmen Gewässern vor.o","Diese ""Axrt grüznlr Klebstoff"" (wie dhe xForschzer den grünen Rost beschreiben) kommtwcnatürlaich insauegstoffarmenGewässern vor. ","Dfstese ""At grüner lebstdtff"" (wie die Forschvr de grünen Rtsj beschreiben) komxmt natürlch in sauerstoffarmn Gewässern vor.k ",Cette «sorte de srubstuance visqueuse verte» (que les chercheurse ont appelé rouille verte) apparaît natureollementldans l'eau pauvre enohxygène. ,etje «sorte mde substancn visqueuse verxte» (que les checheurs nx appelé rouille vdrte) apparaît nkturellement dans l'eau pauyre e oxygyène.h ,Cetlte «sorte de substannce visqucus vere» (que es chcercheury ont apixelé rouille verte) apparajît nbhatbreallemet dans 'eau vauvre en oxyjgne. 
"Diese Form der High-Impact-Physik scheint zwar nichts mit dem täglichen Leben zu tun zu haben, aber die gleichen physikalischen Phänomene kommen auch bei der Optik von Lupen oder der Verzerrung von Objekten unter Wasser zum Tragen. ",Ce type de physique à fort impact peut sembler éloigné de la vie quotidienne alors qu'en fait la même physique régit l'optique des verres grossissants ou le déplacement d'objets dans l'eau. ,"Diese Form der High-Impact-Physik scheint zwar nichts mit dem täglichcn Leben zu tun zu hoben, qber die gleichenu physikalischen Phänomene kormen auch bei der Optijk von Lupen oder der Verzirrungw von Objkten unterWasser zum Tragen. ","Diese Form yer Highc-ompact-Physik skcheint zwar ichts miot dem tägliclhen Leben zu tun zu ghabren, aber die glechen physikalinschen hänomene ommeu auch bei dermOptikqvon Lupen oder der Verzrrun vn Ovjvknten unter Wpsser zum Tragen. ","Diese For de High-dmpact-Physik ssqheint zwar nichts mijt em ftäglichenLeben zau tun hunhben,z age die glieichenphysikkaliscen Phänodenekommen auch bb der Optik vo Lupen oder der Verzerrung von Objekten unter tasqsyr zum Trage. ",Cewtype de physique à frt impact peut sembler éloigné de la vie quotidienni alors qm'en fait la même physique régit l'optiqpe des verres grossissants u le déplacementxdz'objets danq l'eau. ,Ce tpe de physique  fbrt impact put sekbler éloigné de la vne quotidiene aors qu'en fait la mêmet physique vrédgit l'optqique des verres gjossossants ou ledjplacement d'objets dan l'eau. ,Cev tupede plhysiquer à forimpact peuyt semdbler éloigné de klashie zuotidnenne alors qu'en faiti la mmc physijue wkégit l'optique des verres grossssantsou le déplacement d'objet dans l'eau.q
