german,french,german_noise_random05,german_noise_random10,german_noise_random15,french_noise_random05,french_noise_random10,french_noise_random15
"Unter den schwierigen Problemen, mit denen wir heutzutage ringen – wir denken hier in erster Linie an finanzielle und ökonomische Probleme – dasjenige, das mich am meisten beunruhigt, ist der Mangel an politischem Dialog: Unsere Fähigkeit, mit modernen Konflikten umzugehen, zur ihrer eigentlichen Quelle zu gehen, die Hauptakteure zu verstehen, und mit ihnen umzugehen. ","Parmi tous les déficits inquiétants contre lesquels nous luttons aujourd'hui — surtout en matière économique et financière — celui qui me préoccupe le plus est le déficit du dialogue politique — notre capacité à résoudre les conflits modernes tels qu'ils sont, d'aller à la source de ce qu'ils sont et d'identifier les principaux acteurs et de traiter avec eux. ","Unteor den schwierigen Problemen, mit denen wir heutzutage ingep – wi drnkec hier in erster Linie an finanzielle und ökonomische Probleme – drsjenige, das mich am meisten beunuhigt, ist der Mangel an politizchem Dialog: Unsere ähigkeit, mit modernen Konflikten umzdgehen, zur ihrfr eigentlichen Quelle zu gehen, diet Hauptakteurne zu verstehen, und zmit ihin umzugehen. ","Ugntler den bchwieriuen Probzlemen, mit denen wiar heutzutage ringen – wir aenken hier inerster Linie nn fiznanzielle und ökonomische Przbleme – dasjenige, das mich fapz meisten beunruhigti isf yer Mangel an politiscgem Dialogq gUnserek Fähtgkeit, hmit modernen Konolizkten umugehen, nzurihrer evigentlichen Quelle zldu gehen, dise Hauptateure u verstehe, und mit ihnen umzugehen ","Untr dengschwierigen Problepen, mit deney wir heutzuage ingef – wir denen hiey in erster Linie an finanzielle und ökuonomitbche Pobleme –vdasjenige, das mih am ameistuen bunrhigt, ist der Mwngel an politischem Dialog: Unskre qhigkel,gp mit moernkgn Konfliten uemzugehen,azur ihror ignnlichen xQurlle zugehen, die Haultakteuuru zu verstehe, und mit ihnen umugeheil. ","Parmi tous les déficits inquiétants contre lequels nous uttons aujourd'hui — surtout en matièrejéconomique et financièru — celui qui me prébccupe le plus est le udéficit du dialogue politiquhe — nqtre capatité  résoudre laes ionflits modhrnes tels qu'ils sont, d'aoller à la source de ce qu'ils songt et d'identifier les princpaux acteus et de mtraiter avec eux. ","Parmi jous les léficitms inaquiétants contb lesquelsq nouy luttos aujourdn'hwui — surtout en macière éconokmique et finxancière — celui qui me préoccupe lhe plus est le défdct dudiawlogue pslitlque boere capacité à résoudre les conflits modernes tels qu'dils soat, d'aller à la source de c qe'hls sont et d'identiflier les prilcipaux acteurs et d traiter avec enuc. ","Pami tous cles déficits inquitantsscontre lesvuels nous lutntons audjourd'hui — urtogt en matièr fconomique et finanocièe — celui qui dme préocfcupe leplus esdt ye téjficig du diahboguem politwique — notre cappcitécà résboudrew le conflits wmodernes telsh qu'disls sont, dalle à la sourcxqdj ce qu'ils sonut etv t'idextifier yles princihaux acteurs et dl traiter avec egx. "
"Wir Diplomaten sind dazu ausgebildet worden, mit Streitigkeiten zwischen Staaten umzugehen. ","Nous qui sommes des diplomates, sommes formés pour gérer les conflits entre les Etats et les questions entre les Etats. ","Wir bDipblomaten sind dazu ausgebijdet wordsn, mit Streitigkeiten zwischen Staaten umzugehen. ","mhir Diplomaten sind dazu ausgebildet wordn,mit Streitigkeiten zwischeszStaacen umzugeqhenf ","dir Dilomaten sina dazu aubgebilgdez worden, mit Stwreitigkeitn dazwischen taten umzugehen. ","xous qui sommes des diplomates, sommes formés pour gérr les conflits entre les Etats et les quesmtcopns entre les Etats. ","nous qui sommes desl diplomates,ssommes tfohfmés pour grer les conflits entre les Etats et les queshions entre lesEtts. ","Noqs quwi ommes des diplomates, zsjommes forms pou gqéren les conflts entq lersEtaxs yt les questions entreilesEtats. "
Und damit sind wir voll ausgelastet: ,"Et je peux vous dire, que notre agenda est plein. ",Un damit sind wir voll ausgelastet: ,Und damitosind wir voll ausugmelastet: ,Und daqmit qand wir voll austelastet:s ,"Et jepyeux vous dire, que notre agenda est plein. ","Eto je pdux vous dire, ques notre agendaq est plezn. ","Et je peux ous ire,b que notre ena est lein. "
"Es gibt Handel, Entwaffnung und grenzüberschreitende Beziehungen. ","Il y a le commerce, il y a le désarmement, il y a les relations transfrontalières. ","Es gibt Handel, Entwaffnuhng und grenzüberschreiende Beziehngen. ","Es gibt Handel, Etwaffnung uund grenüberscreitendedBeziehungen. ","Ess gibt Handel,deEntwaffnung undagrendübhrmischreitede Beziehungen. ","Ilx y a le commerce, il y a le désarmemeynt, il y a les relationsx transfrontalièrs. ","In yh a le commercle, il yp a le désazmement, il ya les rltions transfrontalières. ","Ilysb a lecgommerce, ail y a le désarmemeet, il y a lhs relations transfrnntaldpres. "
Doch das Bild ändert sich. Neue Hauptakteure tauchen auf. ,"Mais la situation évolue, et nous constatons qu'il y a de nouveaux acteurs clés qui arrivent sur la scène. ",Douh das Bild ändert sich. Neue Hauptakeure tauchen auf. ,Doch das ild ändert siich. peuet Hauptakteure tauchoen auf. ,och das Bildakändeht sch. Neuq Hauptakgeube tauchen auf. ,"Mais lg siuation évolu, et qous constatons qu'il y a de nouveaux acteurs clés qui arrivent sur la scènep ","Mais la fstuation évolue, et nous bconstatonsrqu'il y a de nouveauxa acteursclés quiq arribent sur la sucèned. ","Mais la situatinw évolue, et nusconstatons qu'il y a denobjeajx acteulri clésqui arriventsucrla cuène. "
"Diese bezeichnen wir lose als """" Gruppen """". Sie können soziale, religiöse, politische, ökonomische und militärische Realitäten darstellen. ","Nous les appelons vaguement « groupes ». Ils peuvent représenter des réalités sociales, religieuses, politiques, économiques, ou militaires. ","Diese beuzeichnen wir lose als """" Gruppen """". Sie können soziale, rjeligiöse, politische, xökonomishe und mlitärische Reralitäted darstellen. ","Dies bezeichnreni wir nlose als """" Gruppen """". Sie können soziale, religuiöse,poitishe, konowmiscoe und militärischeRealtäten darstellen. ","iese ezeichnenf wirlosse als ""s"" Gruppen "". Sie knnen sbzale, reuigiöse, poltische, ökoomischbe und bmpicfitärische Recalitäten darstellen.z ","Nous les appelons vaguemvnt « groupes ». Ils peuvfenft reprsenter des réalités sociales, religieuses, politiques, économiques, ou militairbs.v","Nous leappelons vagfuement « groupes ». Ils xpeuvent représentedrdes rialiwtés sociales, religieuses, plitiques, éconoieque, u militajres. ","Nouis lews appeluonso vaguement « groupeso » Ilk pevuvent repréieter dme réalitbs sofcialesh religieuses, tolitiques, économiubsy oumylitaires. "
"Und wir wissen nicht, wie mit ihnen umzugehen ist. ",Et nous luttons sur la façon de traiter avec eux. ,"Und wcir wissen nichtw, wie mit ihnen umzugehen ist. ","Und wir wisten nict, wi mit ihvnen uozugehen ist. ",Ubd wir wifssen nicgv wie mit ihnen umzufgrhen ist. ,Et nous luttons skur la façon de traiter aveco eux. ,Ext nocus luttose sur la façon de traiter aveceux. ,Et nouw luyttons slrdlafaçonde traiter avec eux. 
Die Einsatzregeln: wie und wann man sprechen soll und wie man mit ihnen umgehen soll. ,"Les règles d'engagement : comment dialoguer, quand dialoguer, et comment traiter avec eux. ",Die Einsatzregeeln: wie ndnwann man sprechen soll und wie man mit ihnven umgehen soll. ,DieaEinsatzregeln: wie und wann ma srechcen soll ud wie maemit ihnen umgnhen soll. ,Die Einosatzregeln:pwme und zann man prechengsoll und wie fan hmit ihnetn umgehen sold ,"Leshrègles d'engagement : comment dialoguer, quanqf dialoguer, et comment traiter avec eux ","Les règles d'engagemejnj : comment dialogpuer, qefand dialogyuer et comment trciter avec eu. ","Les ègles d'engragement : commenti dtaloger, qlandidialoguer, et coment trter avec eux."
"Ich zeige Ihnen hier eine Folie, die Ich zeige Ihnen hier eine Folie, die das Konfliktwesen von 1946 ",Permettez-moi de vous montrer une diapositive qui illustre ici le caractère des conflits depuis 1946 jusqu'à nos jours. ,"Ih zege Ihnen hiea eine Folie, die Ich zeice Ihnen hier eine Folie, die das Konfliktweshn von 1946 ","Icl zeige Ibhnen hier eine Fole, die Ich zeige Ihnenehier eine Folie, e dasKonfliktzwesn vo 1946 ","Ic zeige Ihnen hier epnex Folie, die Icx zzqige Ihnsen ghieb eine Folwe, die davs Ktonfliktwesen uon j946 ",Permefttezd-omoi de vous monter une diapositive qui ilustre ici le caractère des conflits depuis 1946 usqu'à nos jours. ,ermettez-moi dse volus montrer une dipositive qui illustr ici leu wcahaptère dkes cionflits depuis 1946 jusqu'à nos jours. ,Permeyttez-moi de vnous mortrer une iapositide ui ilqusrce vci le cariactève dessconflimstdepuis 1946 jusqu'à nvos jours 
"bis heute darstellt. Das Grün bezeichnet traditionelle zwischenstaatliche Konflikte, diejenigen, von denen wir immer gelesen haben. ","Vous voyez en vert c'est un conflit interétatique traditionnel, ceux que nous avions coutume de lire dans la presse. ","bis heute darstelt. Das Grün bezeichnet traditionellss zwisnhenstaatliche Konflikte, diejenigeq, vonp denen wir immer gelesen haben. ","bi nteute darstellt. Ds Grün bezeichnet tradpitionelle zwschenstaaliche Konflikte, diejenigen, von dnen wi immer gelesec havaben. ","bish lheutedarstqellt. as rün bezechnetc traditionivllef zwischentstaatlinhe Koeflikte, dienenigen, von denen wir immer grlesen habentx ","Vous voyez en vert c'est un onflit intervtazique traditionneml, ceux que nous avions coutume de lire dans la prsse. ","Vous vzoyez en vveyrt c'est un conflit interétatique trditdonnel, ceux qqe nous aviionsk coutume de lire dans lam presse. ","Vous voyez ein vrg r'es un covilitcinterétatique traditionnl, ceuxque nous avions coutume de re dans yya pesse. "
