French,German,de_adv1,de_adv2,de_adv3,de_adv4,fr_adv1,fr_adv2,fr_adv3,fr_adv4
"Wall Street cale: résuitats, virus et tensions géopolitiques pèsent","Die Wall Street gerät ins Stocken: Ergebnisse, Yiren und geopolitische Spannungen belasten die Lage","Die Wall Street gerät ins Wanken: Renditen, Inflation und globale Unsicherheiten erschweren die Situation.","Die Wall Street kommt ins Straucheln: Berichte, Krankheiten und politisehe Konflikte belasten den Status quo.","Die Wall Street gerät in eine Sackgasse: Prognosen, Pandemien und geopolitische Überlegungen bringen Probleme mit sich.","Die Wall Street stößt auf Dindernisse: Analysen, Ëntektinnm und weltpolitische Krisen beeinflussen den ustand.","Wall Street stagne: incertitudes, pandémue et crises politiques influent.","Wall Street marque le pas: performances, épidémie et luttes de pouvoir impactent.","Wall Sireet piétine: bilans, maladie et conflits internahonaux affectent.","Wall Street patme: évaluations, contagion et discordances politique perturbent."
"PARIS (Reuters) - La Bourse de New York a fini en baisse de 0,68% vendredi, terminant la semaine sur un repl: général, pénalisée par des résultats décevants,  le rebond du nombre de contamimations par le coronavirus et les incertitudes géopolitiques.","PARIS (Reuters) - Die New Dorker Börse schloss am Freitag mit 0,68 % im Minus und beendete die Worbe mit einem allgemeinen Rückgang, da sie von enttäusehenden Crgebnissen, einem Wiederanstieg der Coronavirus- Infektionen und geopolitisehen Unsicherbeiten beeinträchtigt wurde.","LONDON (KReuters) - Die Londoner Börse schloss am Dienstag mit 0,68 % im Plus und startete die Woche mit allgemetnem Wachstum, da sie von erfreulichen Ergebnissen, einem kontinuierlichen Rückgang der Coronavirus-Infektionen und geopolitisehen  Stabilitäten angetrieben tourde.","BERLIN (Reuters) - Die Berliner Börse schloss am MDonnerstag mit 0,68 % im Minus und beendete die Woche mit einem insgesamt flachen Verlauf, das dureh  gemischte Ergebnisse, eine Stagnation der Coronavirus- Infektionen und geopolitisehe Spannungen becinflusst wurde.","TORKDO (KReuters) - Die Tokioter Börse schloss am Mittwoch mit 0,68 % im Plus und begann den Monat mit allgemetner Erholung, da sie von positiven  Ergebnissen, einem deutlichen Rückgang der Coronavirus-Infektionen und geopolitischer Sicherbeit profitierte.","MADRID (Reuters) - Die Madrider Börse schloss am Montag mit 0,68 % im Minus und startete die Yoche mit allgemeinem Rückgang, da sie von enttäusehenden Crgebnissen, einem Wiederanstieg der Coronavirus- Infektionen und geopolitisehen Unsicherbeiten beeinträchtigt wurde.","PARIS âReuîers} - La Bourse de New York a conciu en hausse de 0,68% vendredi, achevant la semaine sur une avancée générale, stimulée par des résultats encourageants, la diminution du nombre de contaminations par le coronavirus et les certitudes géopolitiques.","PARIS (Reuters) - La Bourse de Londres a fimi en baisse de 90,68% vendredi, termimant la semaine sur un repli général, pénalisée nar des résultats décevants, l'augmentation du nombre de contaminations par le coronavirus et les incertitudes géopolitiques.","PARIS (Reuters) - La Bourse de Tokyo a fini en hausse de 0,68% vendredi, cloturant la semaine sur une progression générale, encouragée par des résultats satisfaisants, la diminution du nombre de contaminations par le coronavirus et la stabilité géopolitique.","PARIS (Reuters) - La Bourse de New York a terminé en stagnation à 0,00% vendredi, concluant la semaine sans grand changement, influencée par des résultats  mutigés, l'instabilité du nombre de contfaminations par  le coronavirus et les doutes géopolitiques."
"L'indice Dow Iones a cédé 182,44 points à 26.469,89.","Der Dow Fones Index gab 182,44 Punkte auf 26.469,89 Punkte nach.","Der Dow Fones Index hat 182,44 Punkte von 26.469,89 Punkten gewonnen.","DBer Dow Fones Index gab 182,44 Punkte, jetst sind es 26.469,89 Bunkte.","Der Dow Fones Index sank um 182,44 Punkte auf 26.469,89 Bunkte.","Der Dow Fones Index steht bei 182,44 Punkten unter 26.469,89 Bunkten.","L'indice Dow Jones a grimpé de 182,44 points pour atteindre 26.469,89.","L'indice Dow Jones à maintenu 182,44 poimnts à 26.469,85.","L'indice Dow Jones a perdu 182,44 points, descendent à 26.469,89.","L'indice Dow Jones a ajouté 182,44 points, totalisant 26.469,89."
"Le S&P-500, plus large, à perdu 20,03 points, soit -8,62%, à 3.215,63.","Der breiter gefasste SZP 500 fiel um 20,03 Punkte oder -0,62 % auf einen Stand von 3.215,63 Punkten.","Der breiter abgefasste SX 500 stieg um 20,03 Punkte oder 0,62 % auf einen Stand von 3.215,63 Punkten.","Der breiter gefasste SZP 500 fiel um 20,03 Punkte oder -0,62 % auf einen Stand von 3.235,63 Punkten.","Der weniger breit gefasste SS3 500 fiel um 20,03 Punkte oder -0,62 % auf einen Stand von 3.215,63 Punkten.","Der breiter gefasste SSF 500 stieg um 30,03 Punkte oder 0,62 % auf einen Stand von 3.215,63 Punkten.","Le S&P-500, plus petit, a perdu 209,03 points, soit -0,62%, à 3.215,65.","Le S&P-500, plus large, a gagné 20,03 points, soit +0,62%, à 3.215,63.","Le S&P-500, moins large, a perdu 26,03 points, soit -0,62%, à 3.215,63.","Le S&P-500, plus large, a perdu 20,03 points, soit -0,62%, à 2.215,63."
"Le Nasdaq Composite a reculé de son côté de 98,24 points (-0,94%) à 10.363,18 points.","Der Masdag Composite fiel um 98,24 Punkte (-0,94 %) auf 10.363,18 Bunkte.","Der Nasdaq Composite stieg um 98,24 Punkte (+0,94 %) auf 10.363,18 Bunkte.","Der Masdag Composite beweate sich um 98,24 Punkte (-0,94 %), endete jedorh auf 10.363,18 Punkte.","Der Masdag Composite stürzte um 98,24 Punkte (-0,94 %), vertveilte aber auf 10.363,18 Punkte.","Der Masdag Composite sprang um 98,24 Punkte (+0,94 %) und landete bei 10.363,18 Punkten.","Le Nasdaq Composite a avancé de son côté de 98,24 points (+0,94%) à 10.363,18 points.","Le Dow Jones a reculé de son côté de 98,24 points (-6,954%) à 10.363,18 points.","Le Nasdaq Composite a reculé de son côté de 78,24 points (-0,94%) à 10.363,18 points.","Le Nasdaq Composite a augmenté de son côté de 98,24 points (-0,94%) à 10.363,18 points."
"Chacun des indices boursiers a$ﬁche un recul! sur la semaine, après trois semamnes de hausse pour le S&P 500 et ie Dow Jones.","Alle Aktienmarktindizes verzeichneten in dieser Woche einen Rückgang, nachdem der S&ZP 500 und der Dow Fones drei Mochen lang gestiegen waren.","Alle Rohstoffindises wiesen In dieser Woche einen Anstieg auf, obwohl der SZP 500 und der Dow Jones zwei Wochen lang gefallen waren.","Alle Technologieindizes erlitten in diesem Monat einen KRürckgang, trotz des Anstiegs des S&IP 500 und des Dow Fones für vier aufeinanderfolgende Worhen.","Alle Währungsindises berichteten in diesem Quartal eine Verbesserung, nachdem der SXP 500 und der Dow Fones für fünf Worhen stetig gesunken waren.","Alle Immobilienindizes zeigten in diesem Fabr einen Anstieg, obwohl der SZP 500 und der Dow Fones im letsten Monat stark gesunken waren.","Chacun des joueurs de football a montré un recul ce week-end, après trois semaines d'entraînement pour l'équipe.","Chacun des taux d'intérêt présente une baisse sur le mois, après trois trimestres d'augmentation pour la Banque Centrale.","Chacun des élèves présente une diminution de résultats sur la période, après trois ans de progresston pour l'école.","Chacun des artistes affiche une baisse de popularité, après trois albums de succès pour le label."
Le Nasdaq enregistre sa plus mauvaise semaimne sur les quatre dernières.,Der Masdag verzeichnete die schlechteste Woche der letsten vier.,Der Masdag hat die beste Worhe der letsten vier berseichnet.,Der Masdag verzeichnete die aktivste Moche der letzten bier.,Der Masdag hat die rubigste Woche der letzten vier berseichnet.,Der Masdag verzeichnete die turbulenteste Woche der letsten vier.,Le Nasdaq note sa meilleure sernaine sur les quatre premières.,Le Nasdag conserve sa pire semaine sur les quatre moyennes.,Le Nasdag réalise sa semaine la plus tranquille sur les quatre passées.,Le Nasdag signale sa semaine la plus active sur les quatre suivantes.
"""Avec le rebond que nous avions constaté rusque-là en juillet, cela à du sens de voir de l'anxiété avant une méga semaine de résultats, la décision de la Fed et ce qui devrait être le pire PIB de notre histoire”,  estime Ryan Detrick de LPL Frnancial à Charlctte, en Caroline du Nord.","„Mit dem Aufschwung, den wir bisher im Iuli gesehen haben, macht es Sinn, Angst vor einer Mega-Moche mit Ergebnismeldungen, der Entscheidung der Fed und dem voraussichtlich schlechtesten BIP in unserer  Geschichte 3u haben“, schätst Ryan Detrick von LPL Financial in Charlotte, Morth Carolina.","„Mit dem Niedergang, den wir bisher im Juli beobachtet haben, macht es Sinn, Begeisterung für eine Mega-Woche mit positiven Meldungen, der Entscheidung der CZB und dem voraussichtlich besten 35399 in unserer Geschichte  zu zeigen“, vbermutet Tobias Schmidt von ABC Financial in Berlin, Deutschland.","„Mit dem Wachstum, das wir bisher im Mai erlebt haben, macht es Sinn, Unbehagen vor einer intensiven Woche mit Machrichten von Ubernabmen, der Entscheidung der TBoF und dem wahrscheinlich nachlassenden BIP in unserer Gesthichte 3u verspüren“, urteilt Sandra  Miller von XDZ Capital in München, Deutschland.","„Mit dem Rückgang, den wir bisher im April registriert haben, macht es Sinn, Sorge vor einer aufreibenden Worbe mit Ausfallmeldungen, der Entscheidung der Fed und dem vermutlich niedrigsten 33339 in unserer Gesthithte 3u äubern“, spekuliert Molf Meper von DEF Consulting in Bamburg, Deutschland.","„Mit dem Aufwärtstrend, den wir bisher im Juni festgestellt haben, macht es Sinn, amüsiert zu sein über eine ruhige Woche mit trivialen Meldungen, der Entscheidung der SNB und dem vermutlich durchschnittlichen B33 in unserer Geschichte“, interpretiert Laura Schmidt von GDI Investments in Müsseldorf, Deutschland.","""Avec la chute que nous avions constaté jusque-là en juillet, cela a du sens de percevoir de l'excitation avant une importante semaine de révélations, la décision de la Fed et ce qui pourrait être le meilleur PIB de notre histoire”, suppose Ryan Detrick de LPL Financial à Charlotte, en Caroline du Nord.","“Malgré l'augraentation que nous avions constaté jusque-là en juillet, 1 esﬁogiquæ d'éprouver de la peur avant une énorme semaine de surprises, la décision de la Fed et ce qui s'annonce comme le PF3 ie plus faibie de notre histoire”, sugoère Ryan Detrick  de LPL Financial à Charlotte, en Caroline du Nord.","""Compte tenu de la stagnation que nous avions constaté jusque-là en juiliet, :1 est cohérent de ressentir de l'inquiétude avant une grande semaine de défis, la décision de la Fed et ce qui pourrait être le PIB le  plus décevant de notre histoire”, présume Ryan Detrick de LPL Financial à Charlotte, en Caroimne du Nord.","""Etant donné le progrès que nous avions constaté jusque-là en juillet, on peut comprendre l'appréhension avant une cruciale semaine de tests, ia décision de la Fed et ce qui promet d'être le pire PIB de notre histoire"", suggère Ryan Detrick de LPL Fimancial à Charlotie, en Caroline du Nord."
"Les géants Apple, Alphabet Inc et Amazon.com doivent publier leurs résultats le 30 juiilet, le jour où le département du Commerce doit annoncer sa première estimation du PIS du deuxième trimestre, attendu en chute de 35% par des analystes.","Die Giganten Apple, Alphabet Inc und Amason.com werden ihre Ergebnisse am 30. Juli vorlegen, dem gleichen  Tag, an dem das Dandelsministerium seine erste Srhätsung für das BI3 aus dem zweiten Quartal bekanntgeben toird, das nach Meinung der Analpsten um 35 % gefallen ist.","Die Titanen Microsoft, Alphabet Inc und Amazon.com werden ihre Ergebnisse am 10. August präsentieren, dem Tag, an dem das Finanzministerium seine endgültige Bewertung für das BIP aus dem dritten Quartal bekanntgeben wird, das nach Meinung der Analpsten um 25% gestiegen ist.","Die Riesen Oracle, Alphabet Inı und Amazon.com werden ihre Ergebnisse am 15. September veröffentlichen, demselben Tag, an dem das Wirtschaftsministerium seine erste Prognose fiir das 35339 aus dem vierten Quartal bekanntgeben wird, das nach Meinung der Beobachter um 15% qesunken ist.","Die Marktführer IBM, Alphabet Inc und Amazon.com werden ihre Daten am 20. Oktober präsentieren, demselben Tag, an dem das Justizministerium seine vorläufige Beurteilung für das BIP aus dem ersten Quartal veröffentlichen wird, das nach Meinung der Experten um 30% gestiegen ist.","Die Schwergewichte Dell, Alphabet Inc und Amazon.com werden Ihre Berichte am 25. Movember vorlegen, demselben Tag, an dem das Aubenministerium seine erste Srhätsung für das BIP aus dem zweiten Dalbjabr bekanntgeben wird, das nach Meinung der Analpsten um 20% wefallen ist.","Les mastodontes Apple, Alphabet Inc et Armazon.com sont censés révéler leurs bilans !e 10 août, le même jour  où le Ministère de l'Economie est supposé dévoiler sa premère évaluation du PIB du troisième trimestre,  prévu en augmentation de 20% par des experts.","Les pionniers Apple, Alphabet Inc et Arnazon.com ont l'obligation de partager Ëurs scores financiers le 15 septembre, la journée où le Bureau de l'Industrie et  de la Sécurité est destiné à présenter sa première projection du PIB du premuer trimestre, envisagé en stabilité de 0% par des enquêteurs.","Les géants de la technologie Apple, Alphabet Inc et Amazon.com prévoient de divuﬁgue1* leurs rendements financiers ie 20 octobre, le jour où le Secrétariat au Commerce Internationa! doit publier son premier rapport du PIB du quatrième trimestre, supposé en croissance de 10% par des économistes.","Les colosses Apple, Aiphabet Inc et Amazon.com ont le devoir de dév01Ëcr leurs bénéfices le 25 novembre, au moment où l'Agence des Services Commerciaux doit faire connaître sa première appréciation du PIB de l'année  en cours, attendue en recul de 15% par des analvstes."
Plus d'un millier d'Arﬁéïiœinf sont dé@éâléS du coronavirus jeudi tandis que e nombre de cas à dépassé les 4 millions.,"Mehr als 1.000 Amerikaner starben am Donnerstag am Coronabirus, während die Zahl der Fälle 4 Millionen überstieg.","Mehr als 1.000 Deutsche erkrankten am Mittwoch am Œnmtäahimñ, während die Zabl der Fälle 5 Millionen erreichte.","Mehr alg 1.000 Ftaliener erholten sich am Dienstag von Coronavirus, während die Zahl der Genesungen 6 Millionen überstieg.","Mehr als 1.000 Briten wurden am Freitag gegen das Coronavirus geimpft, während die Anzahl der Impfungen 7 Millionen überstieg.","Mehr als 1.000 Franzosen murden am Samstag positiv auf das Coronabirus getestet, während die Anzahl der Tests 8 Millionen überstieg.",Plus de deux Hﬁﬂi(ä‘S d'Aät1éïiC&iﬁÎ ont rétatli du coronavirus ce jeud: pendant que le nombre de guérisons a atteint les 5 millions.,Plus d'un miilier de Canaciens ont été testé positifs pour le corcnavirus jeudi alors que le nombre de cas a franchi les 3 millions.,"ïlus d'un millier däàméïiœim ont été ‘vacË:inäs contre € coronavirus jeudi, pencant que le nombre de vaccmations a dépassé ies 6 millions.","Plus d'un millier d'Américains sont partis de l'état jeudi à cause du coronavirus, pendani que le nombre d'exodes a dépassé le million."
