eng,tur,similarity_score
A silhouette of two dogs running by a lake.,"Çamurda yürüyen, birinin ağzında bir top olan iki siyah ve beyaz köpek.",1.4
The lady is blonde.,Kadın sarışın.,4.0
People are having a meeting.,İnsanlar bir toplantı yapıyor.,5.0
The dog is competing in dog agility,köpek atın üstünden atlıyor,2.0
A man taking apples out of a bag on a counter.,"Çamaşırhanedeki bir adam, mavi çantasını bir sepetten çıkarmak üzere.",0.8
The child is playing in the ocean.,Okyanusta oynayan bir çocuk.,5.0
The couple is going to the store.,Adam alışveriş yapmak için mağazaya yürüyor.,1.4
Beautiful lights accent trees on a dark night.,Parlak kıyafetler giymiş bir çocuk ağaç salıncağında sallanıyor.,0.2
The man is painting.,Adam bir evi boyuyor.,3.6
men repair pot hole,İki adam delikler kazıyor.,1.8
An old woman is knitting with blue yarn.,Bir kadın kazak örüyor.,3.4
3 men are outdoors working.,2 adam dışarıda çalışıyor.,3.0
A man is standing still in the street.,Sokakta bir adam var.,4.2
A woman is sitting on cloth.,Bir kadın beyaz bir kanepede oturuyor.,3.4
A man with a red flag with a bull.,Mavi şapkalı bir adam mavi bir teknede oturuyor.,1.8
The firefighters were the first to arrive at the scene.,"Kadınlar, sabah şehirden ayrılıyor.",0.2
People are in a hot air balloon.,Sıcak hava balonundaki dört insan.,4.0
a young girl and a person are climbing up a ladder,Genç kız geniş bir merdivenin üzerinden atlar.,2.2
boy eats potato,çocuk patates yer,4.8
Boy in trunks on watery pavements while parents look,"Kişi, banyo aynasında güzel sarı saçlarını tarıyor.",0.2
People are walking through a Christmas themed market.,İnsanlar bir restoranda konuşuyor.,0.2
The kids are sleep.,Çocuklar uyuyor.,5.0
A young man is playing and singing.,Bir adam grubuyla birlikte şarkı söylüyor.,2.6
there is a worried boy over there,Kız vurulmak üzere.,0.2
A cowboy doesn't wrangle the calf.,Rodeoda bir danayı zapt etmeye çalışan bir kovboy.,3.0
A man is running down a sand covered mountain.,Bir adam kumda yürüyor.,3.4
A skateboarder does a trick on concrete.,Bir kaykaycı rampada numara yapar.,3.8
It snowed that day.,"Bebek, öğleden sonra uykusu için yatırılmıştı.",0.2
"man with microphone, hair in afro style.",Siyah saçlı bir adam bir enstrüman çalar.,2.6
A person got in the way of the picture being taken by stretching their green hand out.,Tüm bunlardan usanmış olan siyahlı kadın ofis kapılarından içeriye dalar.,0.4
the little girl swam in the pool,Bir kız havuzda yüzer.,3.8
A black dog jumps off the edge into the lake.,Sahildeki bir kız büyük bir kayadan bir eli havada olacak şekilde kuma atlıyor.,0.4
a boy has blonde hair.,Bir çocuğun sarı saçları var.,5.0
Two men making strange faces while they drink water.,Alkol alırken komik suratlar yapan iki adam.,2.0
"There are two people in this picture, and they are both inside.",Bu fotoğrafta iki kişi var ve ikisi de dışarıda.,2.0
Someone walks on a wall.,Bir kadın telefonla konuşarak sokaktan aşağı yürür.,0.2
a skateboarder is surfing.,Sörfçü sörf yapıyor.,1.8
A person sits in a small car.,Bir kişi bir arabada oturur.,3.8
They are stinky.,Yemek yiyorlar.,0.0
Both dogs have a red toy.,Çocukların oyuncak silahları var ve birinin doldurulmuş bir hayvanı var.,0.4
A couple men are swimming for a long time.,Havuzda yüzen ve biriyle konuşan bir kişi.,1.8
A child is holding a bunch of balloons in front of their face.,Bir kişi yüzünün önünde bir fotoğraf tutuyor.,1.6
The grass is red.,Çim yeşil.,1.8
A rock climber is falling off of a mountain.,Bir kaya tırmanıcısı dağdan atlıyor.,2.2
Two people are looking into the water while a boat passes by.,İki kişi suda bir teknede.,1.2
The boat sails past the shore.,"Tekne, okyanusa doğru yelken açtı",1.8
The man is in a  white shirt,adam siyah bir tişört giymiş,2.0
Dogs playing together.,Köpekler beraber oynar.,4.8
A man is riding his bike inside.,Bir adam bisiklet sürüyor ve köpeğini gezdiriyor.,1.8
The man is running away from people.,Bir adam kızgın insanlardan kaçmak için sahada koşuyor.,3.6
Four people are meeting around table in a modern decorated room.,Birkaç kişi karanlıkta bir masanın etrafında,3.0
A girl dressed in blue plays outside on a nice lawn.,Mavi gömlekli bir adam izlerken holde oynayan üç küçük çocuk.,0.6
A dog gnawing on a camera strap.,Ağzında bir çubukla koşan bir köpek,1.6
The young female has a facial expression.,Bir kadının dövmeleri var.,0.6
A young boy in a uniform gets the ball from his rival.,bir çocuk ellerinde basket topuyla koşuyor.,2.0
A group of people are celebrating a birthday by partying.,"Grup, bir doğum gününü kutluyor.",4.0
There are numbers written on the stage.,Bu fotoğrafta bir grup bisikletin üstünde birkaç insan var.,0.0
The group of people wait to cross the road.,İnsanlar yolun karşısına geçmek için bekliyor.,5.0
The man is in a hospital,Bir kız bir hastanede.,2.6
The man is waiting for his pizza to be delivered.,"Adam, pizzanın teslim edilmesini bekliyor.",5.0
The boat has pink yellow and blue sails.,Tekne sarı renkli.,2.8
a man on a surfboard holds a stick,Bir adam bir sörf tahtası tutar.,1.0
Two sister relax by a pool.,İki kadın ve bir çocuk iskelede ayakta duruyor.,0.8
There is a man wearing clothes.,Atkı takan bir kişi var.,2.2
The dog is getting some water in his face.,Adam sudan çıkıyor,0.4
Some people play music at a concert.,Bir müzik konserindeler.,1.8
A man was jumping.,"Adam, başka bir adamın üstüne atlıyor.",2.6
A man dressed as a clown riding a bicycle in a race.,Kadın kıyafetleri giymiş bir adam bisiklet sürüyor.,2.8
A baseball player's team is watching,Bir futbol takımı beysbol izliyor.,0.8
A group of boys have on green and blue.,"Bir bando takımında çalan bir öğrenci grubu beyaz, yeşil ve altın rengi kıyafetler giymiş.",1.2
A man reaches over a blue carpet to grab a snake from the window sill.,Sarı yağmurluklu bir kişi bir kayanın kenarında aşağı bakarak oturuyor,0.0
A merchant doesn't have any items for sale.,Adam bazı eşyaları satmaya çalışıyor.,0.8
The grass is green.,Çim kırmızı.,2.0
The plants are dead,Bitkiler ölü.,5.0
Someone is riding a bike at night.,Bir kişi gece bisiklet sürüyor.,5.0
The woman in gray is outside.,Kadın karanlıkta dışarıda.,3.2
The sleeping child lies on a hospital bed.,Çocuk yatakta uyuyor.,3.0
There are people on the balcony.,Balkonda insanlar var.,4.8
A man is walking down the sidewalk in front of the colorful building.,Renkli binanın ve köprünün önünde yalnız başına oturan bir adam.,2.2
A group of people are in suits and dresses.,Bir grup kadın takım elbise giymiş.,2.8
Two people cut some cake.,bir pastayı kesen iki insan.,4.4
Child bicycle race,çocuk bisiklet yarışına katılır,4.0
Skateboarder doing a trick.,Bisikletle numaralar yapan bir adam.,1.4
A child holds a kite and people watch.,"Bir adam, bir küçük çocuk grubu için balon hayvanlar yapıyor.",0.6
Laundry day for Mike.,Mutfak çalışanları bu geceki yemek servisi için hazırlanıyor.,0.0
The people are conversing about the weather,İnsanlar hava hakkında konuşuyor.,4.8
a man stands in a white ice cream truck.,"Bir adam, bir dondurma kamyonunda ayakta duruyor.",4.4
The men are doing this for fun.,Adamlar eğleniyor.,3.6
Man shaving with a Gillette razor with a mirror.,Aynanın önünde ayakta durarak tek kullanımlık bir tıraş bıçağıyla boynunu tıraş eden adam.,4.0
The large bird is looking for food.,Adam şu an büyük bir mercanın içinde.,0.0
the band is eating,Müzik grubu uyuyor.,2.0
A dog ran away from home and seems lost out on the streets.,Çocuklar bir yangından kaçar.,0.2
The little boy is getting dirty while he climbs on the tree limb.,Küçük kız küçük oğlandan kaçıyor.,1.0
A child running into his mother's arms.,"Adam, boştaki eliyle bebek arabasını iterek kızını markette taşır.",0.2
A human swims under the pool water.,Bir yüzme havuzu suyla dolu.,1.4
Nobody is shirtless.,Herkes gömleksiz.,1.0
Two white dogs are running in a field with a horse in the background.,"İki köpek, çimenlik bir alanda bir çubuk için kavga ediyor, arkada bir göl var.",2.0
